,unique_key,date,arrest,domestic,community_area,longitude,latitude,year
360,19630,2010-10-10 02:30:00+00:00,True,False,16.0,-87.736441726,41.938970289,2010
361,23030,2016-12-18 05:58:00+00:00,True,False,16.0,-87.707307,41.953924785,2016
362,1745,2002-09-07 18:16:00+00:00,False,False,16.0,-87.711753943,41.954827095,2002
363,2648,2004-03-20 14:35:00+00:00,True,False,16.0,-87.704434616,41.956661532,2004
364,2404,2003-09-27 08:25:00+00:00,False,False,16.0,-87.712130888,41.953868661,2003
365,18980,2009-07-29 20:10:00+00:00,False,False,16.0,-87.740313102,41.944404696,2009
366,21384,2014-05-18 20:29:00+00:00,True,False,17.0,-87.788590101,41.941040735,2014
367,5032322,2006-09-25 01:30:00+00:00,True,False,17.0,-87.77687286,41.93844065,2006
368,19324,2010-04-10 21:53:00+00:00,True,False,17.0,-87.815582076,41.945781408,2010
369,19274,2010-02-19 06:19:00+00:00,True,False,17.0,-87.77725455,41.939350837,2010
370,901,2001-06-27 20:30:00+00:00,True,False,17.0,-87.811357147,41.938737066,2001
371,23025,2016-12-16 22:35:00+00:00,True,False,17.0,-87.808767445,41.948867911,2016
372,21978,2015-07-15 18:30:00+00:00,False,False,19.0,-87.78452659,41.923694334,2015
373,19727,2010-12-30 22:35:00+00:00,False,False,19.0,-87.77627118,41.931135348,2010
374,20608,2012-09-06 23:20:00+00:00,False,False,19.0,-87.748686457,41.917449945,2012
375,8412592,2011-12-23 22:55:00+00:00,True,False,19.0,-87.752531481,41.916849262,2011
376,4602,2008-06-29 02:06:00+00:00,True,False,19.0,-87.767410907,41.919053084,2008
377,21636,2014-11-09 14:19:00+00:00,False,False,19.0,-87.762587693,41.932113696,2014
378,20687,2012-11-04 08:08:00+00:00,True,False,19.0,-87.749668109,41.931491671,2012
379,21824,2015-04-19 06:35:00+00:00,False,False,19.0,-87.751478832,41.930801083,2015
380,24262,2018-10-31 21:22:00+00:00,False,False,19.0,-87.752095905,41.922335521,2018
381,22987,2016-11-29 01:40:00+00:00,False,False,19.0,-87.751335116,41.927205418,2016
382,21056,2013-08-31 02:00:00+00:00,False,False,19.0,-87.76706709,41.936743429,2013
383,3801,2006-09-22 04:44:00+00:00,True,True,19.0,-87.749172906,41.93461208,2006
384,3505,2006-02-28 01:36:00+00:00,False,False,19.0,-87.776784373,41.919447417,2006
385,20081,2011-10-01 04:40:00+00:00,False,False,19.0,-87.76953783,41.92119856,2011
386,1619,2002-07-15 01:31:00+00:00,True,False,19.0,-87.783735283,41.92041668,2002
387,21795,2015-03-25 18:24:00+00:00,True,False,19.0,-87.756452662,41.924102822,2015
388,2283,2003-07-17 22:05:00+00:00,True,False,19.0,-87.784913934,41.934673099,2003
389,21760,2015-02-10 00:00:00+00:00,False,False,19.0,-87.761153938,41.926409544,2015
390,20241,2012-01-09 00:18:00+00:00,False,False,19.0,-87.752379397,41.92146429,2012
391,22363,2016-03-04 02:01:00+00:00,False,False,19.0,-87.76551063,41.918711651,2016
392,19687,2010-11-23 05:55:00+00:00,True,False,19.0,-87.761351158,41.931893493,2010
393,3107,2005-04-11 00:30:00+00:00,True,True,19.0,-87.786929086,41.931526845,2005
394,21198,2013-12-21 18:30:00+00:00,False,False,19.0,-87.747379302,41.926993203,2013
395,4128,2007-06-25 17:16:00+00:00,True,False,19.0,-87.773317002,41.924770833,2007
396,23792,2018-01-24 14:47:00+00:00,True,False,19.0,-87.751991106,41.924165391,2018
397,22653,2016-07-29 14:43:00+00:00,False,False,19.0,-87.749824943,41.917507877,2016
398,1159,2001-10-20 12:55:00+00:00,True,False,19.0,-87.767396234,41.919050268,2001
399,1094,2001-09-23 23:10:00+00:00,True,False,19.0,-87.747286365,41.931526191,2001
400,3425,2005-11-21 22:00:00+00:00,False,False,19.0,-87.752752715,41.934191161,2005
401,22416,2016-04-08 00:56:00+00:00,False,False,19.0,-87.77001549,41.919529667,2016
402,22385,2016-03-18 17:51:00+00:00,True,False,20.0,-87.739231222,41.931070416,2016
403,4659,2008-07-28 06:03:00+00:00,True,False,20.0,-87.73453736,41.928019152,2008
404,1682,2002-08-12 00:09:00+00:00,False,False,20.0,-87.732973584,41.927053251,2002
405,21987,2014-10-17 01:05:00+00:00,True,False,20.0,-87.740161629,41.930605964,2014
406,24219,2018-10-06 23:39:00+00:00,True,False,20.0,-87.738926035,41.921982699,2018
407,22264,2016-01-08 22:07:00+00:00,False,False,20.0,-87.74016654,41.927299196,2016
408,19030,2009-08-19 19:03:00+00:00,True,False,20.0,-87.730190408,41.916273054,2009
409,2705,2004-05-11 22:55:00+00:00,True,False,20.0,-87.727748012,41.916175127,2004
410,23264,2017-04-28 23:22:00+00:00,False,False,20.0,-87.736656017,41.926232713,2017
411,4812,2008-10-25 12:00:00+00:00,True,False,20.0,-87.733967003,41.919462416,2008
412,3835,2006-10-09 16:08:00+00:00,False,False,20.0,-87.741001296,41.931606452,2006
413,20690,2012-11-06 21:00:00+00:00,True,False,21.0,-87.717347053,41.937887003,2012
414,2158,2003-05-16 18:59:00+00:00,False,False,21.0,-87.700468225,41.932076251,2003
415,21802,2015-03-31 12:19:00+00:00,True,True,21.0,-87.691586431,41.932723985,2015
416,22553,2016-06-16 03:58:00+00:00,True,False,21.0,-87.726509353,41.939102087,2016
417,1944,2002-12-25 10:16:00+00:00,True,False,21.0,-87.725840253,41.934084855,2002
418,20101,2011-10-18 12:13:00+00:00,True,False,21.0,-87.7199738,41.943378528,2011
419,2884,2004-09-06 20:23:00+00:00,True,False,21.0,-87.710750677,41.939297628,2004
420,20174,2011-12-04 06:52:00+00:00,False,False,21.0,-87.714904846,41.934262479,2011
421,24080,2018-07-21 14:30:00+00:00,False,False,21.0,-87.707682987,41.939160207,2018
422,2652,2004-03-23 10:42:00+00:00,True,False,21.0,-87.726405346,41.937279374,2004
423,23757,2018-01-01 02:46:00+00:00,False,False,21.0,-87.726681812,41.944561251,2018
424,24253,2018-10-25 10:57:00+00:00,False,False,21.0,-87.730151223,41.93174755,2018
425,4814,2008-10-26 18:57:00+00:00,False,False,21.0,-87.704162347,41.933877553,2008
426,4854,2008-11-21 20:37:00+00:00,False,False,21.0,-87.704420069,41.935701129,2008
427,2456,2003-10-24 20:34:00+00:00,True,True,21.0,-87.721400058,41.937604067,2003
428,24384,2019-01-19 01:50:00+00:00,False,True,21.0,-87.726537284,41.942746559,2019
429,3032,2005-02-01 17:50:00+00:00,False,False,21.0,-87.6939825,41.933102333,2005
430,19883,2011-05-24 04:17:00+00:00,False,False,22.0,-87.704951995,41.930934583,2011
431,21785,2015-03-16 03:11:00+00:00,True,False,22.0,-87.669188669,41.921545627,2015
432,21948,2015-06-29 04:11:00+00:00,True,False,22.0,-87.692269133,41.91629263,2015
433,3682,2006-07-08 04:19:00+00:00,True,False,22.0,-87.715061131,41.914271626,2006
434,22717,2016-08-20 20:36:00+00:00,False,False,22.0,-87.72573097,41.930884512,2016
435,1374,2002-02-26 21:54:00+00:00,False,False,22.0,-87.700042375,41.91902511,2002
436,23894,2018-04-16 04:11:00+00:00,True,True,22.0,-87.718507201,41.915439962,2018
